Restore     , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 106
trap handler entry points                         , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 148
Shader Main, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 150
read tba and tma for next level trap handler, ttmp4 is used as s_save_status , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 172
save routine                                      , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 194
inform SPI the readiness and wait for SPI's go signal , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 214
setup Resource Contants    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 230
global mem offset           , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 246
save HW registers   , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 252
the first wave in the threadgroup    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 288
save SGPRs      , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 296
save first 4 VGPR, then LDS save could use   , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 340
save LDS        , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 359
save VGPRs  - set the Rest VGPRs        , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 419
restore routine                                   , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 467
Setup Resource Contants    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 471
global mem offset           , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 484
the first wave in the threadgroup    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 487
restore LDS     , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 491
restore VGPRs       , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 525
VGPR restore on v0 , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 561
restore SGPRs       , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 568
restore HW registers    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 608
the END                                           , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 673
the helper functions                              , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 682
			variables					  , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 47
	Save	    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 101
	Restore	    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 139
			trap handler entry points			  , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 185
Shader Main, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 187
			save routine					  , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 306
	    inform SPI the readiness and wait for SPI's go signal , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 326
	    setup Resource Contants    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 357
	    global mem offset		, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 373
